index, frame_type, GPU Time, time.time()
539,0,13180101,1740586853.468493
540,0,13204970,1740586853.491438
541,0,13229837,1740586853.514349
542,0,13254705,1740586853.538414
543,0,13279573,1740586853.564338
544,0,13304441,1740586853.591887
545,0,13329309,1740586853.613679
546,0,13354179,1740586853.637811
547,0,13379045,1740586853.664318
548,0,13403914,1740586853.688377
549,2,-1000,1740586853.709079
550,1,13428783,1740586853.721086
550,1,-1000,1740586853.723291
551,0,13453650,1740586853.741632
552,0,13478518,1740586853.762956
553,0,13503386,1740586853.788721
554,0,13528254,1740586853.812041
555,0,13553123,1740586853.839483
556,0,13577991,1740586853.861365
557,0,13602860,1740586853.886192
558,0,13627727,1740586853.911485
559,0,13652595,1740586853.936262
560,0,13677464,1740586853.963018
561,0,13702331,1740586853.985872
562,0,13727199,1740586854.011194
563,0,13752067,1740586854.039419
564,0,13776935,1740586854.060292
565,0,13801803,1740586854.088293
566,0,13826673,1740586854.111367
567,0,13851540,1740586854.135041
568,0,13876408,1740586854.162977
569,0,13901277,1740586854.184537
570,0,13926146,1740586854.212297
571,0,13951013,1740586854.235332
572,0,13975880,1740586854.259542
573,0,14000749,1740586854.287165
574,0,14025617,1740586854.308952
575,0,14050485,1740586854.338143
576,0,14075353,1740586854.360259
577,0,14100221,1740586854.385267
578,0,14125089,1740586854.410407
579,0,14149957,1740586854.434007
580,0,14174827,1740586854.459400
581,0,14199694,1740586854.485895
582,0,14224561,1740586854.508730
583,0,14249431,1740586854.533705
584,0,14274301,1740586854.559591
585,0,14299166,1740586854.584430
586,0,14324034,1740586854.609999
587,0,14348902,1740586854.632903
588,0,14373770,1740586854.657609
589,0,14398639,1740586854.682742
590,0,14423507,1740586854.709472
591,0,14448375,1740586854.732320
592,0,14473243,1740586854.757142
593,0,14498114,1740586854.782655
594,0,14522980,1740586854.806399
595,0,14547847,1740586854.833950
596,0,14572715,1740586854.860516
597,0,14597583,1740586854.881039
598,0,14622451,1740586854.907670
599,0,14647320,1740586854.930649
600,0,14672187,1740586854.958888
